subject,language,mean_dwell_time,n_transitions,flexibility,state_0_fraction,state_1_fraction,state_2_fraction,state_3_fraction,state_4_fraction
sub-EN092,English,5.157039682022117,30.11111111111111,0.20423733941698996,0.09888264836806396,0.22376572776121031,0.14379836285920164,0.06800359270756208,0.465549668303962
sub-EN093,English,6.075573697287275,25.88888888888889,0.1790881067692126,0.41593533837679314,0.03461710093675801,0.13512911963944946,0.32692940896029676,0.08738903208670265
sub-EN094,English,6.361151286055412,24.333333333333332,0.1662644097158065,0.07023373196635808,0.11260320175788431,0.1802584745466592,0.6210967085913808,0.01580788313771766
sub-EN095,English,5.757385888964836,25.88888888888889,0.17480352595744067,0.07992357685054335,0.19848625457534885,0.13294982658764612,0.031733193921190755,0.5569071480652709
sub-EN096,English,5.955993144204095,26.0,0.17800472138829326,0.04208426764666999,0.2400721377057149,0.09721077150758022,0.06753865465968915,0.5530941684803456
sub-EN097,English,6.475615088708068,23.666666666666668,0.16118391018891937,0.06988516131818674,0.14384253653554355,0.08153589456598746,0.020908224185739573,0.6838281833945428
sub-EN098,English,4.612852723116415,32.22222222222222,0.2194876854112065,0.13006672073728323,0.21420145890727083,0.19464810241760794,0.1559445258005551,0.3051391921372829
sub-EN099,English,6.9541471146863305,22.555555555555557,0.15172371527471526,0.08008745198622078,0.17111128415601548,0.10791498598250078,0.011631967720956836,0.6292543101543061
sub-EN100,English,4.398774201088203,33.22222222222222,0.22420829875072712,0.08942799333180049,0.23388851567337493,0.18820433735514394,0.09072775576635739,0.39775139787332325
sub-EN101,English,4.885971033469575,30.444444444444443,0.20432494548100066,0.34368023951593546,0.027700690933259667,0.18198763874272392,0.27700085670330743,0.16963057410477353
sub-EN103,English,5.034388502135276,29.444444444444443,0.20002249970348746,0.307046438202798,0.11311556627203477,0.10999169220456569,0.0783905131324569,0.3914557901881447
sub-EN104,English,4.718802845670449,32.44444444444444,0.22344900379661425,0.3712840093152441,0.0555380677587964,0.21495396041377343,0.2225558816481448,0.1356680808640414
sub-EN105,English,4.2335188908675185,34.0,0.2318374222578757,0.21637802266652098,0.15363641404278788,0.1526632309718705,0.21757005576975805,0.2597522765490626
sub-EN106,English,4.995067471525734,29.444444444444443,0.2024439258604102,0.30619691150993744,0.0514431886846584,0.2693954815157383,0.26539898897754016,0.10756542931212579
sub-EN108,English,5.618449354414267,28.11111111111111,0.18920150220646523,0.12128293496017302,0.21041445096873945,0.07222484271432922,0.026204159345355218,0.5698736120114032
sub-EN109,English,3.9429722512890004,36.55555555555556,0.24945150087809528,0.18684963085065548,0.33374261751852496,0.16400951808153505,0.04461008211752703,0.27078815143175744
sub-EN110,English,6.136836471022517,28.22222222222222,0.19482557024000025,0.17653086173495044,0.09849723174811781,0.15892415185268802,0.0666294567805792,0.49941829788366454
sub-EN113,English,4.22181298307984,34.666666666666664,0.23659390680056688,0.09083080158456498,0.4489911022373165,0.17939794750430046,0.19999398765971863,0.08078616101409944
sub-EN114,English,4.720381245479015,31.77777777777778,0.21668424791369198,0.12071946817352242,0.19805135079340153,0.2602818287547193,0.09498252549791192,0.32596482678044486
sub-EN115,English,18.327179691653374,9.0,0.05942671333078341,0.027809072254437257,0.060366483236968645,0.0754847923500536,0.0007262164124909223,0.8356134357460496
sub-CN001,Chinese,5.110112557693203,29.77777777777778,0.19192289530512657,0.44304699326724234,0.016632363449720373,0.2072227136667465,0.25384076867149685,0.07925716094479392
sub-CN002,Chinese,13.57970211107466,18.0,0.11445501672059659,0.1508684560012833,0.04707453787004487,0.08491682480425121,0.7152133990508176,0.0019267822736030826
